"United Kingdom","20120104 09:30:00","M4 Money Supply (YoY)","-2.6%","","-2.7%","1"
"United Kingdom","20120104 09:30:00","Mortgage Approvals","52.854K","52.800K","52.786K","2"
"United Kingdom","20120104 09:30:00","Consumer Credit","£0.4B","£0.3B","£0.1B","2"
"United Kingdom","20120104 09:30:00","Net Lending to Individuals (MoM)","£0.6B","£0.9B","£1.2B","2"
"United Kingdom","20120104 09:30:00","PMI Construction","53.2","52.0","52.3","2"
"Italy","20120104 10:00:00","Consumer Price Index (EU Norm) (MoM)","0.3%","","-0.1%","1"
"Italy","20120104 10:00:00","Consumer Price Index (EU Norm) (YoY)","3.7%","","3.3%","1"
"Italy","20120104 10:00:00","Consumer Price Index (MoM)","0.4%","","0.3%","1"
"European Monetary Union","20120104 10:00:00","Consumer Price Index (YoY)","2.8%","2.8%","3.0%","2"
"Italy","20120104 10:00:00","Consumer Price Index (YoY)","3.3%","","2.7%","1"
"Brazil","20120104 10:00:00","Fipe's IPC Inflation","0.61%","","0.60%","1"
"United States","20120104 12:00:00","MBA Mortgage Applications","-4.1%","","0.3%","1"
"United States","20120104 15:00:00","Factory Orders (MoM)","1.8%","2.0%","-0.2%","2"
"Argentina","20120104 21:00:00","Tax Revenue (MoM)","48.91B","","47.28B","1"
"United States","20120104 21:00:00","Total Vehicle Sales","13.60M","13.50M","13.63M","1"
"Australia","20120104 22:30:00","AiG Performance of Services Index","49.0","","47.7","2"
"Japan","20120104 23:50:00","Monetary Base (YoY)","13.5%","","19.5%","1"
"Australia","20120105 00:30:00","Trade Balance","1.38B","2.00B","1.42B","2"
"Germany","20120105 07:00:00","Retail Sales (MoM)","-0.9%","0.2%","-0.2%","2"
"Germany","20120105 07:00:00","Retail Sales (YoY)","0.8%","0.7%","-0.6%","2"
"France","20120105 07:45:00","Consumer Confidence","80","","80","1"
"Italy","20120105 09:00:00","Unemployment","8.6%","8.5%","8.5%","1"
"United Kingdom","20120105 09:30:00","Purchasing Manager Index Services","54.0","51.5","52.1","2"
"European Monetary Union","20120105 10:00:00","Industrial New Orders s.a. (MoM)","1.8%","2.5%","-7.8%","2"
"European Monetary Union","20120105 10:00:00","Industrial New Orders (YoY)","1.6%","3.3%","1.6%","2"
"European Monetary Union","20120105 10:00:00","Producer Price Index (MoM)","0.2%","0.1%","0.1%","1"
"European Monetary Union","20120105 10:00:00","Producer Price Index (YoY)","5.3%","5.2%","5.5%","2"
"Brazil","20120105 11:00:00","Industrial Output (MoM)","0.3%","","-0.6%","1"
"Brazil","20120105 11:00:00","Industrial Output (YoY)","-2.5%","","-2.2%","1"
"United States","20120105 13:15:00","ADP Employment Change","325K","165K","204K","2"
"Canada","20120105 13:30:00","Industrial Product Price (MoM)","0.2%","-0.3%","-0.1%","1"
"Canada","20120105 13:30:00","Raw Material Price Index","3.8%","0.0%","-1.0%","1"
"United States","20120105 13:30:00","Initial Jobless Claims","372K","375K","387K","1"
"United States","20120105 13:30:00","Continuing Jobless Claims","3.595M","3.522M","3.617M","1"
"United States","20120105 15:00:00","ISM Non-Manufacturing","52.6","53.0","52.0","2"
"Canada","20120105 15:00:00","Ivey Purchasing Managers Index","53.6","","57.1","2"
"United States","20120105 16:00:00","EIA Crude Oil Stocks change","2.209M","","3.899M","1"
"Australia","20120105 22:30:00","AiG Performance of Construction Index","","","39.6","2"
"Switzerland","20120106 08:15:00","Consumer Price Index (MoM)","","-0.1%","-0.2%","2"
"Switzerland","20120106 08:15:00","Consumer Price Index (YoY)","","-0.6%","-0.5%","2"
"Portugal","20120106 10:00:00","Business Confidence","","","-3.5","1"
"European Monetary Union","20120106 10:00:00","Consumer Confidence","","-21.2","-20.4","2"
"Portugal","20120106 10:00:00","Consumer Confidence","","","-56","1"
"European Monetary Union","20120106 10:00:00","Economic Confidence","","93.2","93.7","1"
"European Monetary Union","20120106 10:00:00","Industrial Confidence","","-7.5","-7.3","1"
"European Monetary Union","20120106 10:00:00","Retail Sales (MoM)","","-0.4%","0.4%","2"
"European Monetary Union","20120106 10:00:00","Retail Sales (YoY)","","-0.9%","-0.4%","2"
"European Monetary Union","20120106 10:00:00","Unemployment Rate","","10.3%","10.3%","2"
"Germany","20120106 11:00:00","Factory Orders s.a. (MoM)","","-1.6%","5.2%","2"
"Germany","20120106 11:00:00","Factory Orders n.s.a. (YoY)","","-1.2%","2.0%","2"
"Brazil","20120106 11:00:00","IPCA Inflation","","","0.52%","1"
"Canada","20120106 12:00:00","Unemployment Rate","","7.4%","7.4%","3"
"Canada","20120106 12:00:00","Net Change in Employment","","15.0K","-18.6K","3"
"United States","20120106 13:30:00","Nonfarm Payrolls","","150K","120K","3"
"United States","20120106 13:30:00","Average Hourly Earnings (MoM)","","0.2%","-0.1%","2"
"United States","20120106 13:30:00","Average Hourly Earnings (YoY)","","2.1%","1.8%","2"
"United States","20120106 13:30:00","Average Weekly Hours","","34.3","34.3","1"
"United States","20120106 13:30:00","Unemployment Rate","","8.7%","8.6%","3"
"Mexico","20120106 14:00:00","Consumer Confidence","","","89.5","1"
"Mexico","20120106 14:00:00","Consumer Confidence s.a","","","91.7","1"
"country","date","name","actual","consensus","previous","volatility"
"China","20120108 00:00:00","M2 Money Supply (YoY)","13.6%","12.6%","12.7%","1"
"Korea Republic of","20120108 21:00:00","Producer Price Index Growth","0.2%","","-0.2%","1"
"Korea Republic of","20120108 21:00:00","Producer Price Index Growth (YoY)","4.3%","","5.1%","1"
"New Zealand","20120108 21:45:00","Trade Balance","-308M","","-228M","2"
"Australia","20120108 22:30:00","AiG Performance of Construction Index","41.0","","39.6","2"
"Australia","20120109 00:00:00","HIA New Home Sales (MoM)","6.8%","","5.5%","2"
"Australia","20120109 00:30:00","Retail Sales s.a. (MoM)","0.0%","0.4%","0.2%","2"
"South Africa","20120109 06:00:00","Gross $Gold & Forex Reserve ","$48.86B","","$49.65B","1"
"South Africa","20120109 06:00:00","Net $Gold & Forex Reserve","$47.867B","","$48.633B","1"
"Switzerland","20120109 06:45:00","Unemployment Rate n.s.a (MoM)","3.3%","3.0%","3.1%","2"
"Germany","20120109 07:00:00","Current Account n.s.a.","€14.3B","","€10.0B","1"
"Germany","20120109 07:00:00","Trade Balance s.a.","€15.1B","€13.2B","€12.5B","2"
"France","20120109 07:45:00","Exports, EUR","€37.4B","","€36.2B","1"
"France","20120109 07:45:00","Imports, EUR","€41.8B","","€41.8B","1"
"France","20120109 07:45:00","Trade Balance EUR","€-4.4B","","€-5.6B","1"
"Czech Republic","20120109 08:00:00","Consumer Price Index (MoM)","0.4%","","0.4%","1"
"Czech Republic","20120109 08:00:00","Consumer Price Index (YoY)","2.4%","","2.5%","1"
"Denmark","20120109 08:00:00","Current Account","12.6B","","8.7B","1"
"Turkey","20120109 08:00:00","Industrial Production (YoY)","8.4%","","7.3%","1"
"Czech Republic","20120109 08:00:00","Retail Sales (YoY)","0.5%","","1.5%","1"
"Denmark","20120109 08:00:00","Trade Balance","7.1B","","6.9B","1"
"Romania","20120109 08:00:00","Trade Balance","€0.90B","","€-0.74B","1"
"Hungary","20120109 08:00:00","Trade Balance","€666.0M","","€490.3M","1"
"Czech Republic","20120109 08:00:00","Unemployment Rate","8.6%","","8.0%","1"
"Switzerland","20120109 08:15:00","Real Retail Sales (YoY)","1.8%","","0.1%","2"
"Norway","20120109 09:00:00","Credit Indicator","6.6%","","6.8%","1"
"European Monetary Union","20120109 09:30:00","Sentix Investor Confidence","-21.1","-21.3","-24.0","2"
"Portugal","20120109 11:00:00","Global Trade Balance","€-3.110B","","€-3.558B","1"
"Germany","20120109 11:00:00","Industrial Production s.a. (MoM)","-0.6%","-0.4%","0.8%","1"
"Germany","20120109 11:00:00","Industrial Production s.a. w.d.a. (YoY)","3.6%","","4.2%","2"
"Ireland","20120109 12:04:11","Consumer Confidence","49.2","","60.1","1"
"Canada","20120109 13:30:00","Building Permits (MoM)","-3.6%","-3.1%","11.6%","1"
"Chile","20120109 13:30:00","Trade Balance","$393.21M","","$657.00M","1"
"Mexico","20120109 14:00:00","12-Month Inflation","3.82%","","3.48%","1"
"Mexico","20120109 14:00:00","Core Inflation","0.51%","","0.32%","1"
"Mexico","20120109 14:00:00","Headline Inflation","0.82%","","1.08%","1"
"Turkey","20120109 15:30:00","Treasury Cash Balance","-6.78B","","-4.49","1"
"Canada","20120109 15:30:58","Bank of Canada Business Outlook Survey","","","","2"
"United States","20120109 20:00:00","Consumer Credit Change","$20.37B","$7.30B","$6.02B","2"
"New Zealand","20120109 21:45:00","Building Permits s.a. (MoM)","-6.4%","","10.7%","1"
"United Kingdom","20120110 00:01:00","BRC Retail Sales Monitor - All (YoY)","2.2%","0.5%","-1.6%","1"
"United Kingdom","20120110 00:01:00","RICS Housing Price Balance","-16","-19","-17","1"
"Australia","20120110 00:30:00","Building Permits (MoM)","8.4%","6.0%","-10.0%","1"
"Australia","20120110 00:30:00","Building Permits (YoY)","-18.9%","-19.8%","-29.8%","1"
"China","20120110 04:05:58","Trade Balance","16.52B","8.70B","14.50B","2"
"Finland","20120110 07:00:00","Industry Output (MoM)","0.5%","","-1.2%","1"
"France","20120110 07:45:00","Industrial Output (MoM)","1.1%","","0.1%","1"
"Denmark","20120110 08:00:00","Consumer Price Index (YoY)","2.5%","","2.6%","1"
"Romania","20120110 08:00:00","Industrial Production (MoM)","0.3%","","-0.6%","1"
"Denmark","20120110 08:00:00","Inflation (HICP) (YoY)","2.7%","","2.5%","1"
"Denmark","20120110 08:00:00","Retail Sales (YoY)","-1.8%","","-3.6%","1"
"Sweden","20120110 08:30:00","Industrial Production (MoM)","-1.9%","","0.4%","1"
"Sweden","20120110 08:30:00","Industrial Production (YoY)","0.2%","","4.7%","1"
"Norway","20120110 09:00:00","Consumer Price Index (MoM)","0.1%","","0.0%","1"
"Norway","20120110 09:00:00","Consumer Price Index (YoY)","0.2%","","1.2%","1"
"Norway","20120110 09:00:00","Core Inflation ","1%","","1%","1"
"Norway","20120110 09:00:00","Core Inflation (MoM)","0.2%","","-0.2%","1"
"Norway","20120110 09:00:00","Producer Price Index (YoY)","8.2%","","12.9%","1"
"South Africa","20120110 10:00:00","Total New Vehicle Sales","43790","","49499","1"
"Canada","20120110 13:15:00","Housing Starts s.a (YoY)","200.2K","188.5K","185.6K","2"
"United States","20120110 15:00:00","IBD/TIPP Economic Optimism (MoM)","47.5","","42.8","1"
"United States","20120110 15:00:00","Wholesale Inventories","0.1%","0.5%","1.2%","1"
"Korea Republic of","20120110 23:00:00","Unemployment Rate","3.1%","","3.1%","1"
"United Kingdom","20120111 00:01:00","BRC Shop Price Index (MoM)","1.7%","","2.0%","1"
"Japan","20120111 05:00:00","Leading Economic Index","92.9","92.9","92.0","2"
"Japan","20120111 05:00:00","Coincident Index","90.3","90.3","91.4","1"
"India","20120111 07:30:00","M3 Money Supply","15.6%","","16.5%","1"
"Romania","20120111 08:00:00","Consumer Price Index","3.1%","","3.4%","1"
"Turkey","20120111 08:00:00","Current Account Balance","$-5.19B","","$-4.15B","1"
"Spain","20120111 08:00:00","Industrial Output Cal Adjusted (YoY)","-7.0%","","-4.2%","1"
"Germany","20120111 08:00:00","Real GDP Growth","3.0%","3.0%","3.6%","2"
"United Kingdom","20120111 09:30:00","Goods Trade Balance","£-8.644B","£-8.350","£-7.868B","1"
"United Kingdom","20120111 09:30:00","Trade Balance; non-EU","£-5.021B","£-5.000","£-4.556B","1"
"Greece","20120111 10:00:00","Consumer Price Index - Harmonized (YoY)","2.2%","","2.8%","1"
"Portugal","20120111 10:00:00","Consumer Price Index (MoM)","0.0%","","0.1%","1"
"Greece","20120111 10:00:00","Consumer Price Index (YoY)","2.4%","","2.9%","1"
"Portugal","20120111 10:00:00","Consumer Price Index (YoY)","3.6%","","4.0%","1"
"United States","20120111 12:00:00","MBA Mortgage Applications","4.5%","","-4.1%","1"
"Mexico","20120111 14:00:00","Industrial Output (MoM)","0.1%","","-0.5%","1"
"Mexico","20120111 14:00:00","Industrial Output (YoY)","3.2%","","3.3%","1"
"United States","20120111 15:30:00","EIA Crude Oil Stocks change","4.958M","","2.209M","1"
"United States","20120111 19:00:00","Fed's Beige Book","","","","3"
"Japan","20120111 23:50:00","Current Account n.s.a.","¥138.5B","¥246.8B","¥562.4B","1"
"Japan","20120111 23:50:00","Trade Balance - BOP Basis","¥-585.1B","¥-599.4B","¥-206.1B","2"
"China","20120112 01:30:00","Consumer Price Index (YoY)","4.1%","","4.2%","2"
"China","20120112 01:30:00","Producer Price Index (YoY)","1.7%","","2.7%","2"
"Korea Republic of","20120112 03:00:00","Money Supply Growth","8.9","","8.9","1"
"Japan","20120112 05:00:00","Eco Watchers Survey: Outlook","44.4","","44.7","2"
"Japan","20120112 05:00:00","Eco Watchers Survey: Current","47","","45","2"
"India","20120112 05:30:00","Cumulative Industrial Output","3.8%","","3.5%","1"
"India","20120112 05:30:00","Industrial Output","5.9%","","-5.1%","1"
"India","20120112 05:30:00","Manufacturing Output","6.6%","","-6.0%","1"
"Japan","20120112 06:00:00","Machine Tool Orders (YoY)","17.4%","","15.8%","2"
"France","20120112 06:30:00","Consumer Price Index (EU norm) final (MoM)","0.4%","","0.3%","1"
"France","20120112 06:30:00","Consumer Price Index (EU norm) final (YoY)","2.7%","","2.7%","1"
"France","20120112 06:30:00","Inflation ex-tobacco (MoM)","0.4%","","0.2%","1"
"Germany","20120112 07:00:00","Consumer Price Index (YoY)","2.1%","2.1%","2.4%","2"
"Germany","20120112 07:00:00","Consumer Price Index (MoM)","0.7%","","0.0%","2"
"France","20120112 07:45:00","Budget","€-97.2B","","€-99.4B","1"
"France","20120112 07:45:00","Current Account","€-2.3B","","€-4.2B","1"
"Denmark","20120112 08:00:00","Industrial Production (MoM)","0.2%","","-0.3%","1"
"Sweden","20120112 08:30:00","Consumer Price Index (MoM)","0.2%","","0.2%","1"
"Sweden","20120112 08:30:00","Consumer Price Index (YoY)","2.3%","","2.8%","1"
"Netherlands","20120112 08:30:00","Retail Sales (YoY)","1.3","","-1.6","1"
"Russia","20120112 08:38:17","Central Bank Reserves $","$498.0B","","$501.3B","1"
"Italy","20120112 09:00:00","Industiral Output w.d.a (YoY)","-4.1%","","-4.1%","1"
"Italy","20120112 09:00:00","Industrial Output s.a. (MoM)","0.3%","","-0.9%","1"
"United Kingdom","20120112 09:30:00","Industrial Production (YoY)","-3.1%","-2.2%","-2.1%","2"
"United Kingdom","20120112 09:30:00","Industrial Production (MoM)","-0.6%","-0.1%","-1.0%","1"
"United Kingdom","20120112 09:30:00","Manufacturing Production (MoM)","-0.2%","-0.2%","-0.9%","1"
"United Kingdom","20120112 09:30:00","Manufacturing Production (YoY)","-0.6%","-0.5%","0.1%","2"
"South Africa","20120112 09:30:00","Reuters Econometer","267.81","","271.25","1"
"European Monetary Union","20120112 10:00:00","Industrial Production w.d.a. (YoY)","-0.3%","0.3%","1.0%","2"
"European Monetary Union","20120112 10:00:00","Industrial Production s.a. (MoM)","-0.1%","-0.2%","-0.3%","1"
"Greece","20120112 10:00:00","Unemployment Rate (MoM)","18.2%","","17.5%","1"
"South Africa","20120112 11:00:00","Manufacturing Production Index (YoY)","2.6%","","1.2%","1"
"Brazil","20120112 11:00:00","Retail Sales","1.3%","","0.0%","1"
"United Kingdom","20120112 12:00:00","BoE Asset Purchase Facility","£275B","£275B","£275B","3"
"European Monetary Union","20120112 12:45:00","ECB Interest Rate Decision","1%","1%","1%","3"
"European Monetary Union","20120112 13:30:00","ECB President Draghi's Speech","","","","3"
"United States","20120112 13:30:00","Initial Jobless Claims","","375K","372K","1"
"United States","20120112 13:30:00","Continuing Jobless Claims","","","3.595M","1"
"Canada","20120112 13:30:00","New Housing Price Index (MoM)","","0.2%","0.2%","1"
"United States","20120112 13:30:00","Retail Sales (MoM)","","0.2%","0.2%","2"
"United States","20120112 13:30:00","Retail Sales ex Autos (MoM)","","0.3%","0.2%","2"
"United States","20120112 15:00:00","Business Inventories","","0.4%","0.8%","2"
"United Kingdom","20120112 15:00:00","NIESR GDP Estimate (3M)","","","0.3%","2"
"United States","20120112 19:00:00","Monthly Budget Statement","","-79.0B","-137.3B","2"
"Japan","20120112 23:50:00","Money Supply M2+CD (YoY)","","3%","3%","1"
"Russia","20120113 00:00:00","Foreign Trade","","","$16.9B","1"
"China","20120113 00:00:00","Industrial Production (YoY)","","12.2%","13.2%","2"
"China","20120113 00:00:00","Retail Sales (YoY)","","17.1%","17.2%","2"
"Finland","20120113 07:00:00","Consumer Price Index (YoY)","","","3.4%","1"
"Spain","20120113 08:00:00","Consumer Price Index (MoM)","","","0.4%","1"
"Hungary","20120113 08:00:00","Consumer Price Index (YoY)","","","4.3%","1"
"Spain","20120113 08:00:00","Consumer Price Index (YoY)","","","2.9%","1"
"Hungary","20120113 08:00:00","Core Consumer Price Index (YoY)","","","3.1%","1"
"Spain","20120113 08:00:00","HICP (MoM)","","","0.2%","1"
"Spain","20120113 08:00:00","HICP (YoY)","","","2.9%","1"
"Hungary","20120113 08:00:00","Industrial Output (YoY)","","","3%","1"
"Netherlands","20120113 08:30:00","Manufacturing Output (MoM)","","","-0.1%","1"
"Turkey","20120113 09:00:00","Budget Balance","","","2.15B","1"
"Czech Republic","20120113 09:00:00","Current Account (MoM)","","","1.31B","1"
"United Kingdom","20120113 09:30:00","Producer Price Index - Input (YoY) n.s.a","","9.1%","13.4%","2"
"United Kingdom","20120113 09:30:00","Producer Price Index - Input (MoM) n.s.a","","-0.1%","0.1%","1"
"United Kingdom","20120113 09:30:00","Producer Price Index - Output (MoM) n.s.a","","0.1%","0.2%","1"
"United Kingdom","20120113 09:30:00","Producer Price Index - Output (YoY) n.s.a","","5.0%","5.4%","2"
"European Monetary Union","20120113 10:00:00","Trade Balance s.a.","","","€0.3B","2"
"European Monetary Union","20120113 10:00:00","Trade Balance n.s.a.","","","€1.1B","2"
"India","20120113 11:30:00","Bank Loan Growth","","","17.1%","1"
"India","20120113 11:30:00","FX Reserves, USD","","","$296.688B","1"
"Poland","20120113 13:00:00","Consumer Price Index (MoM)","","","0.7%","1"
"Poland","20120113 13:00:00","Consumer Price Index (YoY)","","","4.8%","1"
"Poland","20120113 13:00:00","Current Account","","","€-1622M","1"
"Poland","20120113 13:00:00","M3 Money Supply (YoY)","","","11.6%","1"
"United States","20120113 13:30:00","Import Price Index (MoM)","","","0.7%","2"
"United States","20120113 13:30:00","Import Price Index (YoY)","","-0.1%","9.9%","1"
"Canada","20120113 13:30:00","International Merchandise Trade","","$-0.35B","$-0.89B","1"
"United States","20120113 13:30:00","Trade Balance","","$-44.60","$-43.47B","2"
"United States","20120113 14:55:00","Reuters/Michigan Consumer Sentiment Index","","70.5","69.9","2"
"Argentina","20120113 19:00:00","Consumer Inflation (YoY)","","","","1"
"Argentina","20120113 19:00:00","Consumer Price Index (MoM)","","","0.6%","1"
"country","date","name","actual","consensus","previous","volatility"
"Korea Republic of","20120115 03:00:00","Export Price Growth (YoY)","2.5%","","5.4%","1"
"New Zealand","20120115 21:45:00","Food Price Index (MoM)","0.2%","","0.2%","1"
"Australia","20120115 23:30:00","TD Securities Inflation (MoM)","0.5%","","-0.1%","2"
"Australia","20120115 23:30:00","TD Securities Inflation (YoY)","2.4%","","2.1%","2"
"Japan","20120115 23:50:00","Core Machinery Orders (MoM)","14.8%","5.1%","-6.9%","2"
"Japan","20120115 23:50:00","Domestic Corporate Goods Price Index (MoM)","0.1%","-0.1%","0.1%","1"
"Japan","20120115 23:50:00","Domestic Corporate Goods Price Index (YoY)","1.3%","1.2%","1.6%","1"
"United Kingdom","20120116 00:01:00","Rightmove House Price Index (MoM)","-0.8%","","-2.7%","1"
"United Kingdom","20120116 00:01:00","Rightmove House Price Index (YoY)","0.4%","","1.5%","2"
"Australia","20120116 00:30:00","ANZ Job Advertisements","-0.9%","","0.1%","2"
"Australia","20120116 00:30:00","Home Loans","1.4%","1.1%","0.8%","2"
"Australia","20120116 00:30:00","Investment Lending for Homes","1.8%","","-5.5%","1"
"Japan","20120116 05:00:00","Consumer Confidence Index","38.9","","38.1","1"
"India","20120116 06:30:00","WPI Inflation","7.47%","","9.11%","1"
"Germany","20120116 07:00:00","Wholesale Price Index (MoM)","0.0%","0.2%","0.7%","2"
"Germany","20120116 07:00:00","Wholesale Price Index (YoY)","3.0%","3.2%","4.9%","2"
"Turkey","20120116 08:00:00","3mth quarterly jobless average","9.1%","","8.8%","1"
"Turkey","20120116 08:00:00","Consumer Confidence","92","","91","1"
"Czech Republic","20120116 08:00:00","Export Prices (YoY)","5.8%","","4.5%","1"
"Czech Republic","20120116 08:00:00","Import Prices (YoY)","7.6%","","6.9%","1"
"Czech Republic","20120116 08:00:00","Producer Price Index (MoM)","0.1%","","0.4%","1"
"Czech Republic","20120116 08:00:00","Producer Price Index (YoY)","4.6%","","5.6%","1"
"Switzerland","20120116 08:15:00","Producer and Import Prices (MoM)","0.3%","-0.6%","-0.8%","1"
"Switzerland","20120116 08:15:00","Producer and Import Prices (YoY)","-2.3%","-2.8%","-2.4%","1"
"Russia","20120116 08:47:21","Foreign Trade","$17.4B","","$16.6B","1"
"Italy","20120116 09:00:00","Consumer Price Index (EU Norm) (MoM)","0.3%","","-0.1%","1"
"Italy","20120116 09:00:00","Consumer Price Index (EU Norm) (YoY)","3.7%","","3.3%","1"
"Italy","20120116 09:00:00","Consumer Price Index (MoM)","0.4%","","0.3%","1"
"Italy","20120116 09:00:00","Consumer Price Index (YoY)","3.3%","","2.7%","1"
"Norway","20120116 09:00:00","Trade Balance","41.2B","","35.5B","1"
"Canada","20120116 13:30:00","New Motor Vehicle Sales (MoM)","-1.0%","2.1%","3.3%","1"
"European Monetary Union","20120116 18:00:00","ECB_President_Draghi's_(Informal)_Speech","","","","0"
"New Zealand","20120116 21:00:00","NZIER Business Confidence (QoQ)","0","","27","2"
"Japan","20120116 23:50:00","Tertiary Industry Index (MoM)","-0.8%","-0.3%","0.7%","2"
"China","20120117 02:00:00","Gross Domestic Product (YoY)","8.9%","8.1%","9.1%","3"
"China","20120117 02:00:00","Industrial Production (YoY)","12.8%","12.2%","12.4%","2"
"China","20120117 02:00:00","Retail Sales (YoY)","18.1%","17.1%","17.2%","2"
"Finland","20120117 07:00:00","Producer Price Index (YoY)","1.8%","","3.7%","1"
"Austria","20120117 09:00:00","HICP (MoM)","0.2","","0.0","1"
"Austria","20120117 09:00:00","HICP (YoY)","3.4","","3.8","1"
"United Kingdom","20120117 09:30:00","Consumer Price Index (YoY)","4.2%","4.2%","4.8%","2"
"United Kingdom","20120117 09:30:00","Consumer Price Index (MoM)","0.4%","0.4%","0.2%","2"
"United Kingdom","20120117 09:30:00","Core Consumer Price Index (YoY)","3.0%","3.0%","3.2%","3"
"United Kingdom","20120117 09:30:00","Retail Price Index (MoM)","0.4%","0.3%","0.2%","1"
"United Kingdom","20120117 09:30:00","Retail Price Index (YoY)","4.8%","4.8%","5.2%","1"
"United Kingdom","20120117 09:30:00","DCLG House Price Index (YoY)","-3.3%","","-0.4%","1"
"United Kingdom","20120117 10:00:00","BoE's Governor King Speech","","","","3"
"United Kingdom","20120117 10:00:00","CB Leading Indicator Index","-0.6%","","-0.3%","2"
"European Monetary Union","20120117 10:00:00","Consumer Price Index (YoY)","2.7%","2.8%","3.0%","2"
"European Monetary Union","20120117 10:00:00","Consumer Price Index - Core (YoY)","1.6%","1.6%","1.6%","3"
"European Monetary Union","20120117 10:00:00","Consumer Price Index (MoM)","0.3%","0.4%","0.1%","2"
"Germany","20120117 10:00:00","ZEW Survey - Economic Sentiment","-21.6","-49.1","-53.8","2"
"European Monetary Union","20120117 10:00:00","ZEW Survey - Economic Sentiment","-32.5","-48.7","-54.1","2"
"Germany","20120117 10:00:00","ZEW Survey - Current Situation","28.4","24.0","26.8","2"
"Canada","20120117 13:30:00","Foreign investment in Canadian securities","$14.99B","$6.97B","$3.85B","1"
"Canada","20120117 13:30:00","Canadian Investment in Foreign Securities","$-2.77B","","$-2.13B","1"
"United States","20120117 13:30:00","NY Empire State Manufacturing Index","13.48","10.50","8.19","1"
"Australia","20120117 23:30:00","Westpac Consumer Confidence","2.4%","","-8.3%","2"
"Australia","20120118 00:30:00","New Motor Vehicle Sales (MoM)","-2.9%","2.3%","-0.6%","1"
"Australia","20120118 00:30:00","New Motor Vehicle Sales (YoY)","-3.0%","","2.9%","1"
"China","20120118 01:00:00","FDI - Foreign Direct Investment (YTD)(YoY)","9.7%","","13.2%","1"
"Japan","20120118 04:30:00","Industrial Production (YoY)","-4.2%","","0.1%","2"
"Japan","20120118 04:30:00","Capacity Utilization","-2.9%","","4.1%","1"
"Japan","20120118 04:30:00","Industrial Production (MoM)","-2.7%","-2.4%","-2.6%","1"
"South Africa","20120118 08:00:00","Consumer Price Index (MoM)","0.2%","","0.3%","1"
"South Africa","20120118 08:00:00","Consumer Price Index (YoY)","6.1%","","6.1%","1"
"Italy","20120118 09:00:00","Global Trade Balance","-1.581B","","-1.077B","1"
"Italy","20120118 09:00:00","Trade Balance EU","€-0.386B","","€-0.217B","1"
"United Kingdom","20120118 09:30:00","Claimant Count Change","1.2K","6.3K","0.2K","3"
"United Kingdom","20120118 09:30:00","Average Earnings excluding Bonus (3Mo/Yr)","1.9%","","1.8%","2"
"United Kingdom","20120118 09:30:00","Average Earnings including Bonus (3Mo/Yr)","1.9%","2.0%","2.0%","2"
"United Kingdom","20120118 09:30:00","Claimant Count Rate","5%","","5%","2"
"United Kingdom","20120118 09:30:00","ILO Unemployment Rate (3M)","8.4%","8.3%","8.3%","2"
"European Monetary Union","20120118 10:00:00","Construction Output  s.a (MoM)","0.8%","","-1.4%","1"
