Date Time,,,,Event,,Survey,Actual,Prior,Revised,Relevance,Ticker
01/06/2012 08:30,US,1362),,Underemployment Rate (U6),Dec,--,15.20%,15.60%,--,7.47664,USUDMAER Index
01/06/2012 08:30,US,1363),,Avg Hourly Earning MOM All Emp,Dec,0.20%,0.20%,-0.10%,0.00%,14.0187,AHE MOM% Index
01/06/2012 08:30,US,1364),,Avg Hourly Earning YOY All Emp,Dec,2.10%,2.10%,1.80%,2.10%,13.0841,AHE YOY% Index
01/06/2012 08:30,US,1365),,Avg Weekly Hours All Employees,Dec,34.3,34.4,34.3,34.4,12.1495,AWH TOTL Index
01/06/2012 08:30,US,1366),,Change in Household Employment,Dec,--,176,278,317,9.34579,USEMNCHG Index
01/09/2012 15:00,US,1367),,Consumer Credit,Nov,$7.000B,$20.374B,$7.645B,$3.775B,37.3832,CICRTOT Index
01/10/2012 07:30,US,1368),,NFIB Small Business Optimism,Dec,93.8,93.8,92,--,56.0748,SBOITOTL Index
01/10/2012 10:00,US,1369),,IBD/TIPP Economic Optimism,Jan,45,47.5,42.8,--,0,ECONUSIB Index
01/10/2012 10:00,US,1370),,JOLTs Job Openings,Nov,--,3161,3267,3224,10.2804,JOLTTOTL Index
01/10/2012 10:00,US,1371),,Wholesale Inventories,Nov,0.50%,0.10%,1.60%,1.40%,79.4393,MWINCHNG Index
01/11/2012 07:00,US,1372),,MBA Mortgage Applications,6-Jan,--,4.50%,-4.10%,--,94.4444,MBAVCHNG Index
01/11/2012 14:00,US,1373),,Fed's Beige Book,,,,,,0,
01/12/2012 08:30,US,1374),,Advance Retail Sales,Dec,0.30%,0.10%,0.20%,0.50%,88.785,RSTAMOM Index
01/12/2012 08:30,US,1375),,Retail Sales Less Autos,Dec,0.30%,-0.20%,0.20%,0.40%,62.1495,RSTAXMOM Index
01/12/2012 08:30,US,1376),,Retail Sales Ex Auto & Gas,Dec,0.40%,0.00%,0.20%,0.20%,58.8785,RSTAXAG% Index
01/12/2012 08:30,US,1377),,"Retail Sales ""Control Group""",Dec,0.30%,-0.20%,0.20%,0.30%,4.6729,RSTAXAGM Index
01/12/2012 08:30,US,1378),,Initial Jobless Claims,7-Jan,375K,399K,372K,375K,99.0654,INJCJC Index
01/12/2012 08:30,US,1379),,Continuing Claims,31-Dec,3595K,3628K,3595K,3609K,69.3458,INJCSP Index
01/12/2012 09:45,US,1380),,Bloomberg Consumer Comfort,8-Jan,--,-44.7,-44.8,--,60.7477,COMFCOMF Index
01/12/2012 10:00,US,1381),,Revisions: Philadelphia Fed Business Outlook Survey,,,,,,0,
01/12/2012 10:00,US,1382),,Business Inventories,Nov,0.40%,0.30%,0.80%,--,34.5794,MTIBCHNG Index
01/12/2012 14:00,US,1383),,Monthly Budget Statement,Dec,-$83.7B,-$86.0B,-$78.1B,-$137.3B,73.8318,FDDSSD Index
01/13/2012 08:30,US,1384),,Import Price Index (MoM),Dec,-0.10%,-0.10%,0.70%,0.70%,75.7009,IMP1CHNG Index
01/13/2012 08:30,US,1385),,Import Price Index (YoY),Dec,8.40%,8.50%,9.90%,10.10%,27.1028,IMP1YOY% Index
01/13/2012 08:30,US,1386),,Trade Balance,Nov,-$45.0B,-$47.8B,-$43.5B,-$45.7B,81.3084,USTBTOT Index
01/13/2012 09:55,US,1387),,U. of Michigan Confidence,Jan P,71.5,74,69.9,--,92.5234,CONSSENT Index
01/17/2012 08:30,US,1388),,Revisions: Empire State Manufacturing Activity Index,,,,,,0,
01/17/2012 08:30,US,1389),,Empire Manufacturing,Jan,11,13.48,9.53,8.19,80.3738,EMPRGBCI Index
01/18/2012 07:00,US,1390),,MBA Mortgage Applications,13-Jan,--,23.10%,4.50%,--,94.4444,MBAVCHNG Index
01/18/2012 08:30,US,1391),,Producer Price Index (MoM),Dec,0.10%,-0.10%,0.30%,0.10%,85.0467,PPI CHNG Index
01/18/2012 08:30,US,1392),,PPI Ex Food & Energy (MoM),Dec,0.10%,0.30%,0.10%,0.10%,68.0374,PXFECHNG Index
01/18/2012 08:30,US,1393),,Producer Price Index (YoY),Dec,5.10%,4.80%,5.70%,5.60%,66.3551,PPI YOY Index
01/18/2012 08:30,US,1394),,PPI Ex Food & Energy (YoY),Dec,2.80%,3.00%,2.90%,3.00%,64.486,PPI XYOY Index
01/18/2012 09:00,US,1395),,Total Net TIC Flows,Nov,$50.0B,$48.6B,-$48.8B,-$37.9B,63.5514,FRNTTNET Index
01/18/2012 09:00,US,1396),,Net Long-term TIC Flows,Nov,$40.0B,$59.8B,$4.8B,$14.3B,71.9626,FRNTTOTL Index
01/18/2012 09:15,US,1397),,Industrial Production,Dec,0.50%,0.40%,-0.20%,0.20%,85.9813,IP CHNG Index
01/18/2012 09:15,US,1398),,Capacity Utilization,Dec,78.10%,78.10%,77.80%,77.70%,60.1869,CPTICHNG Index
01/18/2012 10:00,US,1399),,NAHB Housing Market Index,Jan,22,25,21,--,36.4486,USHBMIDX Index
01/19/2012 08:30,US,1400),,Consumer Price Index (MoM),Dec,0.10%,0.00%,0.00%,0.10%,93.4579,CPI CHNG Index
01/19/2012 08:30,US,1401),,CPI Ex Food & Energy (MoM),Dec,0.10%,0.10%,0.20%,--,74.7664,CPUPXCHG Index
01/19/2012 08:30,US,1402),,Consumer Price Index (YoY),Dec,3.00%,3.00%,3.40%,--,55.1402,CPI YOY Index
01/19/2012 08:30,US,1403),,CPI Ex Food & Energy (YoY),Dec,2.20%,2.20%,2.20%,--,44.8598,CPI XYOY Index
01/19/2012 08:30,US,1404),,Consumer Price Index NSA,Dec,225.782,225.672,226.23,--,26.1682,CPURNSA Index
01/19/2012 08:30,US,1405),,CPI Core Index SA,Dec,--,227.166,226.836,226.856,29.9065,CPUPAXFE Index
01/19/2012 08:30,US,1406),,Housing Starts,Dec,680K,657K,685K,708K,87.8505,NHSPSTOT Index
01/19/2012 08:30,US,1407),,Housing Starts MOM%,Dec,-0.70%,-4.10%,9.30%,9.10%,16.8224,NHCHSTCH Index
01/19/2012 08:30,US,1408),,Building Permits,Dec,679K,679K,681K,709K,61.4953,NHSPATOT Index
01/19/2012 08:30,US,1409),,Building Permits MOM%,Dec,-0.20%,-0.10%,5.70%,5.60%,14.9533,NHCHATCH Index
01/19/2012 08:30,US,1410),,Initial Jobless Claims,14-Jan,384K,352K,399K,402K,99.0654,INJCJC Index
01/19/2012 08:30,US,1411),,Continuing Claims,7-Jan,3590K,3432K,3628K,3647K,69.3458,INJCSP Index
01/19/2012 09:45,US,1412),,Bloomberg Consumer Comfort,15-Jan,--,-47.4,-44.7,--,60.7477,COMFCOMF Index
01/19/2012 09:45,US,1413),,Bloomberg Economic Expectations,Jan,--,-19,-17,--,21.4953,COMFBTWR Index
01/19/2012 10:00,US,1414),,Philadelphia Fed.,Jan,10.3,7.3,10.3,6.8,74.7664,OUTFGAF Index
01/20/2012 10:00,US,1415),,Existing Home Sales,Dec,4.65M,4.61M,4.42M,4.40M,86.9159,ETSLTOTL Index
01/20/2012 10:00,US,1416),,Existing Home Sales MoM,Dec,5.20%,5.00%,4.00%,1.90%,50.4673,ETSLMOM Index
01/24/2012 10:00,US,1417),,Richmond Fed Manufact. Index,Jan,6,12,3,--,67.2897,RCHSINDX Index
01/24/2012 21:00,US,1418),,2012 State of the Union Address,,,,,,0,
01/25/2012 07:00,US,1419),,MBA Mortgage Applications,20-Jan,--,-5.00%,23.10%,--,94.4444,MBAVCHNG Index
01/25/2012 10:00,US,1420),,House Price Index MoM,Nov,0.00%,1.00%,-0.20%,-0.90%,65.4206,HPIMMOM% Index
01/25/2012 10:00,US,1421),,Pending Home Sales MoM,Dec,-1.00%,-3.50%,7.30%,4.60%,72.8972,USPHTMOM Index
01/25/2012 10:00,US,1422),,Pending Home Sales YoY,Dec,--,4.40%,6.90%,6.90%,22.2222,USPHTYOY Index
01/25/2012 12:30,US,1423),,FOMC Rate Decision,25-Jan,0.25%,0.25%,0.25%,--,97.1963,FDTR Index
01/26/2012 08:30,US,1424),,Chicago Fed Nat Activity Index,Dec,-0.12,0.17,-0.37,-0.27,59.8131,CFNAI Index
01/26/2012 08:30,US,1425),,Durable Goods Orders,Dec,2.00%,3.00%,3.80%,3.40%,90.6542,DGNOCHNG Index
01/26/2012 08:30,US,1426),,Durables Ex Transportation,Dec,0.90%,2.10%,0.30%,-0.70%,72.5234,DGNOXTCH Index
01/26/2012 08:30,US,1427),,Cap Goods Orders Nondef Ex Air,Dec,1.00%,2.90%,-1.20%,--,49.5327,CGNOXAI% Index
01/26/2012 08:30,US,1428),,Cap Goods Ship Nondef Ex Air,Dec,1.00%,2.90%,-1.00%,--,42.9907,CGSHXAI% Index
01/26/2012 08:30,US,1429),,Initial Jobless Claims,21-Jan,370K,377K,352K,355K,99.0654,INJCJC Index
01/26/2012 08:30,US,1430),,Continuing Claims,14-Jan,3500K,3554K,3432K,3459K,69.3458,INJCSP Index
01/26/2012 09:45,US,1431),,Revisions: Chicago Purchasing Managers Index,,,,,,0,
01/26/2012 09:45,US,1432),,Bloomberg Consumer Comfort,22-Jan,-46,-46.4,-47.4,--,60.7477,COMFCOMF Index
01/26/2012 10:00,US,1433),,Revisions: Leading Indicators,,,,,,0,
01/26/2012 10:00,US,1434),,Leading Indicators,Dec,0.70%,0.40%,0.50%,0.30%,84.1121,LEI CHNG Index
01/26/2012 10:00,US,1435),,New Home Sales,Dec,321K,307K,315K,327K,89.7196,NHSLTOT Index
01/26/2012 10:00,US,1436),,New Home Sales MoM,Dec,1.90%,-2.20%,1.60%,4.10%,47.6636,NHSLCHNG Index
01/26/2012 11:00,US,1437),,Revisions: Kansas City Fed. Manf. Activity,,,,,,0,
01/26/2012 11:00,US,1438),,Kansas City Fed Manf. Activity,Jan,2,7,-4,-2,6.54206,KCLSSACI Index
01/27/2012 08:30,US,1439),,GDP QoQ (Annualized),4Q A,3.00%,2.80%,1.80%,--,96.2617,GDP CQOQ Index
01/27/2012 08:30,US,1440),,Personal Consumption,4Q A,2.40%,2.00%,1.70%,--,67.3832,GDPCTOT% Index
01/27/2012 08:30,US,1441),,GDP Price Index,4Q A,1.90%,0.40%,2.60%,--,77.0093,GDP PIQQ Index
01/27/2012 08:30,US,1442),,Core PCE QoQ,4Q A,0.90%,1.10%,2.10%,--,67.3832,GDPCPCEC Index
01/27/2012 09:55,US,1443),,U. of Michigan Confidence,Jan F,74,75,74,--,92.5234,CONSSENT Index
01/30/2012 08:30,US,1444),,Personal Income,Dec,0.40%,0.50%,0.10%,-0.20%,83.1776,PITLCHNG Index
01/30/2012 08:30,US,1445),,Personal Spending,Dec,0.10%,0.00%,0.10%,0.10%,83.1776,PCE CRCH Index
01/30/2012 08:30,US,1446),,PCE Deflator (YoY),Dec,2.30%,2.40%,2.50%,2.60%,32.7103,PCE DEFY Index
01/30/2012 08:30,US,1447),,PCE Core (MoM),Dec,0.10%,0.20%,0.10%,--,58.2243,PCE CMOM Index
01/30/2012 08:30,US,1448),,PCE Core (YoY),Dec,1.80%,1.80%,1.70%,1.70%,33.6449,PCE CYOY Index
01/30/2012 10:30,US,1449),,Dallas Fed Manf. Activity,Jan,1.5,15.3,-3,-0.3,61.6822,DFEDGBA Index
01/31/2012 08:30,US,1450),,Employment Cost Index,4Q,0.40%,0.40%,0.30%,--,71.028,ECI SA% Index
01/31/2012 09:00,US,1451),,S&P/CaseShiller Home Price Ind,Nov,--,138.49,140.3,140.05,54.2056,SPCS20 Index
01/31/2012 09:00,US,1452),,S&P/CS 20 City MoM% SA,Nov,-0.50%,-0.70%,-0.62%,-0.63%,15.8879,SPCS20SM Index
01/31/2012 09:00,US,1453),,S&P/CS Composite-20 YoY,Nov,-3.30%,-3.67%,-3.40%,-3.57%,46.729,SPCS20Y% Index
01/31/2012 09:45,US,1454),,Chicago Purchasing Manager,Jan,63,60.2,62.2,--,77.5701,CHPMINDX Index
01/31/2012 10:00,US,1455),,Revisions: ISM's 2012 Seasonal Adjustments,,,,,,0,
01/31/2012 10:00,US,1456),,Consumer Confidence,Jan,68,61.1,64.5,64.8,95.3271,CONCCONF Index
02/01/2012 07:00,US,1457),,MBA Mortgage Applications,27-Jan,--,-2.90%,-5.00%,--,94.4444,MBAVCHNG Index
02/01/2012 08:00,US,1458),,NAPM-Milwaukee,Jan,57.5,58.4,57.8,--,25.2336,MAPMINDX Index
02/01/2012 08:15,US,1459),,ADP Employment Change,Jan,182K,170K,325K,267K,76.6355,ADP CHNG Index
02/01/2012 10:00,US,1460),,Construction Spending MoM,Dec,0.50%,1.50%,1.20%,1.00%,78.5047,CNSTTMOM Index
02/01/2012 10:00,US,1461),,ISM Manufacturing,Jan,54.5,54.1,53.9,53.1,94.3925,NAPMPMI Index
02/01/2012 10:00,US,1462),,ISM Prices Paid,Jan,50,55.5,47.5,--,68.2243,NAPMPRIC Index
02/01/2012 15:37,US,1463),,Total Vehicle Sales,Jan,13.50M,14.13M,13.52M,13.50M,38.3178,SAARTOTL Index
02/01/2012 16:00,US,1464),,Domestic Vehicle Sales,Jan,10.50M,11.05M,10.45M,10.59M,30.8411,SAARDTOT Index
02/02/2012 07:30,US,1465),,Challenger Job Cuts YoY,Jan,--,38.90%,30.60%,--,28.972,CHALYOY% Index
02/02/2012 08:00,US,1466),,RBC Consumer Outlook Index,Feb,--,45.1,45.8,--,8.41121,ICSHNATL Index
02/02/2012 08:30,US,1467),,Nonfarm Productivity,4Q P,0.80%,0.70%,2.30%,1.90%,35.514,PRODNFR% Index
02/02/2012 08:30,US,1468),,Unit Labor Costs,4Q P,0.80%,1.20%,-2.50%,-2.10%,28.0374,COSTNFR% Index
02/02/2012 08:30,US,1469),,Initial Jobless Claims,28-Jan,371K,367K,377K,379K,99.0654,INJCJC Index
02/02/2012 08:30,US,1470),,Continuing Claims,21-Jan,3535K,3437K,3554K,3567K,69.3458,INJCSP Index
02/02/2012 09:45,US,1471),,Revisions: ISM NY,,,,,,0,
02/02/2012 09:45,US,1472),,ISM New York,Jan,--,60.1,51.1,51.7,5.60748,NYPMCURR Index
02/02/2012 09:45,US,1473),,Bloomberg Consumer Comfort,29-Jan,-45,-44.8,-46.4,--,60.7477,COMFCOMF Index
02/02/2012 12:04,US,1474),,ICSC Chain Store Sales YoY,Jan,--,4.80%,3.50%,--,18.6916,MBRXYOYW Index
02/03/2012 08:30,US,1475),,Revisions: Establishment Employment Survey Annual Revisions,,,,,,0,
02/03/2012 08:30,US,1476),,Change in Nonfarm Payrolls,Jan,140K,243K,200K,223K,98.1308,NFP TCH Index
02/03/2012 08:30,US,1477),,Change in Private Payrolls,Jan,160K,257K,212K,234K,17.757,NFP PCH Index
02/03/2012 08:30,US,1478),,Change in Manufact. Payrolls,Jan,12K,50K,23K,28K,68.6916,USMMMNCH Index
02/03/2012 08:30,US,1479),,Unemployment Rate,Jan,8.50%,8.30%,8.50%,--,88.3178,USURTOT Index
02/03/2012 08:30,US,1480),,Avg Hourly Earning MOM All Emp,Jan,0.20%,0.20%,0.20%,0.10%,14.0187,AHE MOM% Index
02/03/2012 08:30,US,1481),,Avg Hourly Earning YOY All Emp,Jan,1.90%,1.90%,2.10%,--,13.0841,AHE YOY% Index
02/03/2012 08:30,US,1482),,Avg Weekly Hours All Employees,Jan,34.4,34.5,34.4,34.4,12.1495,AWH TOTL Index
02/03/2012 08:30,US,1483),,Change in Household Employment,Jan,--,847,176,--,9.34579,USEMNCHG Index
02/03/2012 08:30,US,1484),,Underemployment Rate (U6),Jan,--,15.10%,15.20%,--,7.47664,USUDMAER Index
02/03/2012 10:00,US,1485),,ISM Non-Manf. Composite,Jan,53.2,56.8,52.6,53,70.0935,NAPMNMI Index
02/03/2012 10:00,US,1486),,Factory Orders,Dec,1.50%,1.10%,1.80%,1.70%,82.243,TMNOCHNG Index
02/07/2012 10:00,US,1487),,IBD/TIPP Economic Optimism,Feb,48.6,49.4,47.5,--,0,ECONUSIB Index
02/07/2012 10:00,US,1488),,JOLTs Job Openings,Dec,3250,3376,3161,3118,10.2804,JOLTTOTL Index
02/07/2012 15:00,US,1489),,Consumer Credit,Dec,$7.000B,$19.308B,$20.374B,$17.972B,37.3832,CICRTOT Index
02/08/2012 07:00,US,1490),,MBA Mortgage Applications,3-Feb,--,7.50%,-2.90%,--,94.4444,MBAVCHNG Index
02/09/2012 08:30,US,1491),,Initial Jobless Claims,4-Feb,370K,358K,367K,373K,99.0654,INJCJC Index
02/09/2012 08:30,US,1492),,Continuing Claims,28-Jan,3500K,3515K,3437K,3451K,69.3458,INJCSP Index
02/09/2012 09:45,US,1493),,Bloomberg Consumer Comfort,5-Feb,--,-41.7,-44.8,--,60.7477,COMFCOMF Index
02/09/2012 10:00,US,1494),,Wholesale Inventories,Dec,0.40%,1.00%,0.10%,0.10%,79.4393,MWINCHNG Index
02/10/2012 08:30,US,1495),,Trade Balance,Dec,-$48.5B,-$48.8B,-$47.8B,-$48.8B,81.3084,USTBTOT Index
02/10/2012 09:55,US,1496),,U. of Michigan Confidence,Feb P,74.8,72.5,75,--,92.5234,CONSSENT Index
02/10/2012 14:00,US,1497),,Monthly Budget Statement,Jan,-$31.6B,-$27.4B,-$49.8B,-$86.0B,73.8318,FDDSSD Index
02/14/2012 07:30,US,1498),,NFIB Small Business Optimism,Jan,95,93.9,93.8,--,56.0748,SBOITOTL Index
02/14/2012 08:30,US,1499),,Import Price Index (MoM),Jan,0.30%,0.30%,-0.10%,0.00%,75.7009,IMP1CHNG Index
02/14/2012 08:30,US,1500),,Import Price Index (YoY),Jan,7.20%,7.10%,8.50%,--,27.1028,IMP1YOY% Index
02/14/2012 08:30,US,1501),,Advance Retail Sales,Jan,0.80%,0.40%,0.10%,0.00%,88.785,RSTAMOM Index
02/14/2012 08:30,US,1502),,Retail Sales Less Autos,Jan,0.50%,0.70%,-0.20%,-0.30%,62.1495,RSTAXMOM Index
02/14/2012 08:30,US,1503),,Retail Sales Ex Auto & Gas,Jan,0.50%,0.60%,0.00%,0.00%,58.8785,RSTAXAG% Index
02/14/2012 08:30,US,1504),,"Retail Sales ""Control Group""",Jan,0.40%,0.70%,--,-0.30%,4.6729,RSTAXAGM Index
02/14/2012 10:00,US,1505),,Business Inventories,Dec,0.50%,0.40%,0.30%,--,34.5794,MTIBCHNG Index
02/14/2012,US,1506),,Revisions: Producer Price Index,,,,,,0,
02/15/2012 07:00,US,1507),,MBA Mortgage Applications,10-Feb,--,-1.00%,7.50%,--,94.4444,MBAVCHNG Index
02/15/2012 08:30,US,1508),,Empire Manufacturing,Feb,15,19.53,13.48,--,80.3738,EMPRGBCI Index
02/15/2012 08:30,US,1509),,Revisions: Consumer Price Index,,,,,,0,
02/15/2012 09:00,US,1510),,Total Net TIC Flows,Dec,--,$87.1B,$48.6B,$49.0B,63.5514,FRNTTNET Index
02/15/2012 09:00,US,1511),,Net Long-term TIC Flows,Dec,$45.0B,$17.9B,$59.8B,$68.0B,71.9626,FRNTTOTL Index
02/15/2012 09:15,US,1512),,Industrial Production,Jan,0.70%,0.00%,0.40%,0.90%,85.9813,IP CHNG Index
02/15/2012 09:15,US,1513),,Capacity Utilization,Jan,78.60%,78.50%,78.10%,78.30%,60.1869,CPTICHNG Index
02/15/2012 10:00,US,1514),,NAHB Housing Market Index,Feb,26,29,25,--,36.4486,USHBMIDX Index
02/15/2012 14:00,US,1515),,Minutes of FOMC Meeting,,,,,,0,
02/16/2012 08:30,US,1516),,Producer Price Index (MoM),Jan,0.40%,0.10%,-0.10%,-0.10%,85.0467,PPI CHNG Index
02/16/2012 08:30,US,1517),,PPI Ex Food & Energy (MoM),Jan,0.20%,0.40%,0.30%,0.20%,68.0374,PXFECHNG Index
02/16/2012 08:30,US,1518),,Producer Price Index (YoY),Jan,4.10%,4.10%,4.80%,4.70%,66.3551,PPI YOY Index
02/16/2012 08:30,US,1519),,PPI Ex Food & Energy (YoY),Jan,2.70%,3.00%,3.00%,--,64.486,PPI XYOY Index
02/16/2012 08:30,US,1520),,Initial Jobless Claims,11-Feb,365K,348K,358K,361K,99.0654,INJCJC Index
02/16/2012 08:30,US,1521),,Continuing Claims,4-Feb,3495K,3426K,3515K,3526K,69.3458,INJCSP Index
02/16/2012 08:30,US,1522),,Housing Starts,Jan,675K,699K,657K,697K,87.8505,NHSPSTOT Index
02/16/2012 08:30,US,1523),,Housing Starts MOM%,Jan,-3.40%,1.50%,-4.10%,-1.90%,16.8224,NHCHSTCH Index
02/16/2012 08:30,US,1524),,Building Permits,Jan,680K,676K,679K,701K,61.4953,NHSPATOT Index
02/16/2012 08:30,US,1525),,Building Permits MOM%,Jan,0.60%,0.70%,-0.10%,-1.30%,14.9533,NHCHATCH Index
02/16/2012 09:45,US,1526),,Bloomberg Consumer Comfort,12-Feb,-42,-39.8,-41.7,--,60.7477,COMFCOMF Index
02/16/2012 09:45,US,1527),,Bloomberg Economic Expectations,Feb,--,-7,-19,--,21.4953,COMFBTWR Index
02/16/2012 10:00,US,1528),,Mortgage Delinquencies,4Q,--,7.58%,7.99%,--,33.3333,DLQTDLQT Index
02/16/2012 10:00,US,1529),,MBA Mortgage Foreclosures,4Q,--,4.38%,4.43%,--,11.215,FORLTOTL Index
02/16/2012 10:00,US,1530),,Philadelphia Fed.,Feb,9,10.2,7.3,--,74.7664,OUTFGAF Index
02/17/2012 08:30,US,1531),,Consumer Price Index (MoM),Jan,0.30%,0.20%,0.00%,--,93.4579,CPI CHNG Index
02/17/2012 08:30,US,1532),,CPI Ex Food & Energy (MoM),Jan,0.20%,0.20%,0.10%,--,74.7664,CPUPXCHG Index
02/17/2012 08:30,US,1533),,Consumer Price Index (YoY),Jan,2.90%,2.90%,3.00%,--,55.1402,CPI YOY Index
02/17/2012 08:30,US,1534),,CPI Ex Food & Energy (YoY),Jan,2.20%,2.30%,2.20%,--,44.8598,CPI XYOY Index
02/17/2012 08:30,US,1535),,Consumer Price Index NSA,Jan,226.573,226.665,225.672,--,26.1682,CPURNSA Index
02/17/2012 08:30,US,1536),,CPI Core Index SA,Jan,--,227.684,227.166,227.188,29.9065,CPUPAXFE Index
02/17/2012 10:00,US,1537),,Leading Indicators,Jan,0.50%,0.40%,0.40%,0.60%,84.1121,LEI CHNG Index
02/21/2012 08:30,US,1538),,Chicago Fed Nat Activity Index,Jan,0.21,0.22,0.17,0.65,59.8131,CFNAI Index
02/22/2012 07:00,US,1539),,MBA Mortgage Applications,17-Feb,--,-4.50%,-1.00%,--,94.4444,MBAVCHNG Index
02/22/2012 10:00,US,1540),,Revisions: Existing Home Sales,,,,,,0,
02/22/2012 10:00,US,1541),,Existing Home Sales,Jan,4.66M,4.57M,4.61M,4.38M,86.9159,ETSLTOTL Index
02/22/2012 10:00,US,1542),,Existing Home Sales MoM,Jan,1.10%,4.30%,5.00%,-0.50%,50.4673,ETSLMOM Index
02/23/2012 08:30,US,1543),,Initial Jobless Claims,18-Feb,355K,351K,348K,351K,99.0654,INJCJC Index
02/23/2012 08:30,US,1544),,Continuing Claims,11-Feb,3455K,3392K,3426K,3444K,69.3458,INJCSP Index
02/23/2012 09:45,US,1545),,Bloomberg Consumer Comfort,19-Feb,--,-38.4,-39.8,--,60.7477,COMFCOMF Index
02/23/2012 10:00,US,1546),,House Price Index MoM,Dec,0.10%,0.70%,1.00%,0.70%,65.4206,HPIMMOM% Index
02/23/2012 10:00,US,1547),,House Price Purchase Index QoQ,4Q,0.20%,-0.10%,0.20%,0.40%,20.5607,HPI PURQ Index
02/23/2012 11:00,US,1548),,Kansas City Fed Manf. Activity,Feb,9,13,7,--,6.54206,KCLSSACI Index
02/24/2012 09:55,US,1549),,U. of Michigan Confidence,Feb F,73,75.3,72.5,--,92.5234,CONSSENT Index
02/24/2012 10:00,US,1550),,New Home Sales,Jan,315K,321K,307K,339K,89.7196,NHSLTOT Index
02/24/2012 10:00,US,1551),,New Home Sales MoM,Jan,2.60%,-0.90%,-2.20%,3.70%,47.6636,NHSLCHNG Index
02/27/2012 10:00,US,1552),,Pending Home Sales MoM,Jan,1.00%,2.00%,-3.50%,-1.90%,72.8972,USPHTMOM Index
02/27/2012 10:00,US,1553),,Pending Home Sales YoY,Jan,10.70%,10.30%,4.40%,--,22.2222,USPHTYOY Index
02/27/2012 10:30,US,1554),,Dallas Fed Manf. Activity,Feb,15.8,17.8,15.3,--,61.6822,DFEDGBA Index
02/28/2012 08:30,US,1555),,Durable Goods Orders,Jan,-1.00%,-4.00%,3.00%,5.10%,90.6542,DGNOCHNG Index
02/28/2012 08:30,US,1556),,Durables Ex Transportation,Jan,0.00%,-3.20%,2.10%,4.10%,72.5234,DGNOXTCH Index
02/28/2012 08:30,US,1557),,Cap Goods Orders Nondef Ex Air,Jan,-1.30%,-4.50%,2.90%,3.40%,49.5327,CGNOXAI% Index
02/28/2012 08:30,US,1558),,Cap Goods Ship Nondef Ex Air,Jan,-0.90%,-3.10%,2.90%,2.80%,42.9907,CGSHXAI% Index
02/28/2012 09:00,US,1559),,S&P/CS 20 City MoM% SA,Dec,-0.35%,-0.50%,-0.70%,-0.67%,15.8879,SPCS20SM Index
